PrtPort,NetPrint,PrtData,DS_LCLOK,PrtDriver,NtSpd,PrtFile,NnTTOK,Problem4,PTROFFLINE,PrtCbl,DeskPrntSpd,PrtStatOff,PrtPScript,EPSGrphc,PrtThread,AppOK,PrtDataOut,PrtIcon,TrTypFnts,PrtStatToner,NtGrbld,GrbldPS,DS_NTOK,PgOrnttnOK,PrtPaper,PrtSel,AvlblVrtlMmry,PrtOn,PC2PRT,GrbldOtpt,LclOK,Problem6,EMFOK,TstpsTxt,NnPSGrphc,Problem1,DSApplctn,PrtMpTPth,Problem3,CblPrtHrdwrOK,ScrnFntNtPrntrFnt,GrphcsRltdDrvrSttngs,NtwrkCnfg,PrtQueue,IncmpltPS,PrtStatPaper,TTOK,PrntrAccptsTrtyp,PrtTimeOut,FntInstlltn,REPEAT,HrglssDrtnAftrPrnt,GDIOUT,PrtMem,GDIIN,LclGrbld,PrntngArOK,AppData,PrtPath,PSERRMEM,Problem5,TnrSpply,AppDtGnTm,PrtStatMem,DataFile,DskLocal,FllCrrptdBffr,PrtSpool,PrntPrcssTm,Problem2,DrvSet,DrvOK,NetOK,CmpltPgPrntd,PSGRAPHIC
Yes,No__Local_printer_,Yes,Yes,Yes,OK,Yes,Yes,Yes,Online,Connected,OK,No_Error,Yes,No____TIF___WMF___BMP_,OK,Correct,Yes,Normal,Yes,No_Error,Yes,No,Yes,Correct,Has_Paper,Yes,Adequate____1Mb_,Yes,Yes,No,Yes,No,Yes,x_1_Mb_Available_VM,Yes,Normal_Output,Windows,Correct,Yes,Operational,Yes,Correct,Correct,Short,Yes,No_Error,No,No,Long_Enough,Verified,Yes__Always_the_Same_,Fast_Enough,Yes,Greater_than_2_Mb,Yes,Yes,Correct,Correct,Correct,No_Error,No,Adequate,Fast_Enough,No_Error,Correct,Greater_than_2_Mb,Intact__not_Corrupt_,Enabled,Fast_Enough,OK,Correct,Reinstalled,Yes,Yes,Yes
Yes,No__Local_printer_,Yes,Yes,Yes,OK,Yes,Yes,Yes,Online,Connected,OK,No_Error,Yes,No____TIF___WMF___BMP_,OK,Correct,Yes,Normal,No,No_Error,Yes,No,Yes,Correct,Has_Paper,Yes,Adequate____1Mb_,Yes,Yes,No,Yes,No,Yes,x_1_Mb_Available_VM,Yes,Normal_Output,Windows,Correct,Yes,Operational,Yes,Correct,Correct,Short,Yes,No_Error,Yes,Yes,Long_Enough,Verified,Yes__Always_the_Same_,Fast_Enough,Yes,Greater_than_2_Mb,Yes,Yes,Correct,Correct,Correct,No_Error,Yes,Adequate,Fast_Enough,No_Error,Correct,Greater_than_2_Mb,Intact__not_Corrupt_,Enabled,Fast_Enough,OK,Correct,Reinstalled,Yes,Yes,Yes
Yes,No__Local_printer_,Yes,Yes,Yes,OK,No,Yes,Yes,Online,Connected,OK,No_Error,Yes,No____TIF___WMF___BMP_,OK,Correct,Yes,Normal,Yes,No_Error,Yes,No,Yes,Correct,Has_Paper,Yes,Adequate____1Mb_,Yes,Yes,No,Yes,No,Yes,x_1_Mb_Available_VM,Yes,Normal_Output,DOS,Correct,Yes,Operational,Yes,Correct,Correct,Short,Yes,No_Error,Yes,Yes,Long_Enough,Verified,Yes__Always_the_Same_,Fast_Enough,Yes,Greater_than_2_Mb,Yes,Yes,Correct,Correct,Correct,No_Error,Yes,Adequate,Fast_Enough,No_Error,Correct,Greater_than_2_Mb,Intact__not_Corrupt_,Enabled,Fast_Enough,OK,Correct,Reinstalled,Yes,Yes,Yes
Yes,Yes__Network_printer_,No,Yes,Yes,OK,No,Yes,Yes,Offline,Connected,OK,No_Error,Yes,No____TIF___WMF___BMP_,OK,Correct,Yes,Normal,Yes,No_Error,Yes,No,No,Correct,Has_Paper,Yes,Adequate____1Mb_,Yes,No,No,Yes,No,Yes,x_1_Mb_Available_VM,Yes,No_Output,Windows,Correct,Yes,Operational,Yes,Correct,Correct,Short,Yes,No_Error,Yes,Yes,Long_Enough,Verified,Yes__Always_the_Same_,Fast_Enough,Yes,Greater_than_2_Mb,Yes,Yes,Correct,Correct,Correct,No_Error,Yes,Adequate,Fast_Enough,No_Error,Correct,Greater_than_2_Mb,Intact__not_Corrupt_,Enabled,Fast_Enough,OK,Correct,Reinstalled,No,Yes,Yes
Yes,Yes__Network_printer_,Yes,Yes,Yes,OK,Yes,Yes,Yes,Online,Connected,OK,No_Error,Yes,No____TIF___WMF___BMP_,OK,Correct,Yes,Normal,Yes,No_Error,Yes,No,Yes,Correct,Has_Paper,Yes,Adequate____1Mb_,Yes,Yes,No,Yes,No,Yes,x_1_Mb_Available_VM,Yes,Normal_Output,Windows,Correct,Yes,Operational,Yes,Correct,Correct,Short,Yes,No_Error,Yes,Yes,Long_Enough,Verified,Yes__Always_the_Same_,Fast_Enough,Yes,Greater_than_2_Mb,Yes,Yes,Correct,Correct,Correct,No_Error,Yes,Adequate,Fast_Enough,No_Error,Correct,Greater_than_2_Mb,Intact__not_Corrupt_,Enabled,Fast_Enough,OK,Correct,Reinstalled,Yes,Yes,Yes
Yes,No__Local_printer_,Yes,Yes,Yes,OK,Yes,Yes,Yes,Online,Connected,OK,No_Error,No,No____TIF___WMF___BMP_,OK,Correct,Yes,Normal,Yes,No_Error,Yes,No,Yes,Correct,Has_Paper,Yes,Adequate____1Mb_,Yes,Yes,No,Yes,No,Yes,x_1_Mb_Available_VM,Yes,Normal_Output,DOS,Correct,Yes,Operational,Yes,Correct,Correct,Short,Yes,No_Error,Yes,Yes,Long_Enough,Verified,Yes__Always_the_Same_,Fast_Enough,Yes,Greater_than_2_Mb,Yes,Yes,Correct,Correct,Correct,No_Error,Yes,Adequate,Fast_Enough,No_Error,Correct,Greater_than_2_Mb,Intact__not_Corrupt_,Enabled,Fast_Enough,OK,Correct,Reinstalled,Yes,Yes,Yes
Yes,No__Local_printer_,No,Yes,No,OK,No,Yes,Yes,Online,Connected,OK,No_Error,Yes,No____TIF___WMF___BMP_,OK,Correct,No,Normal,Yes,No_Error,No,Yes,Yes,Correct,Has_Paper,Yes,Adequate____1Mb_,Yes,No,Yes,Yes,Yes,Yes,x_1_Mb_Available_VM,Yes,No_Output,Windows,Correct,Yes,Operational,Yes,Correct,Correct,Short,Yes,No_Error,Yes,Yes,Long_Enough,Verified,Yes__Always_the_Same_,Fast_Enough,No,Greater_than_2_Mb,Yes,No,Correct,Correct,Correct,No_Error,Yes,Adequate,Fast_Enough,No_Error,Correct,Greater_than_2_Mb,Intact__not_Corrupt_,Enabled,Fast_Enough,OK,Correct,Reinstalled,Yes,Yes,Yes
Yes,No__Local_printer_,Yes,Yes,Yes,OK,Yes,Yes,Yes,Online,Connected,OK,No_Error,No,No____TIF___WMF___BMP_,OK,Correct,Yes,Normal,Yes,No_Error,Yes,No,Yes,Correct,Has_Paper,Yes,Adequate____1Mb_,Yes,Yes,No,Yes,No,Yes,x_1_Mb_Available_VM,Yes,Normal_Output,Windows,Correct,Yes,Operational,Yes,Correct,Correct,Short,Yes,No_Error,Yes,Yes,Long_Enough,Verified,Yes__Always_the_Same_,Fast_Enough,Yes,Greater_than_2_Mb,Yes,Yes,Correct,Correct,Correct,No_Error,Yes,Adequate,Fast_Enough,No_Error,Correct,Greater_than_2_Mb,Intact__not_Corrupt_,Enabled,Fast_Enough,OK,Correct,Reinstalled,Yes,Yes,Yes
Yes,No__Local_printer_,Yes,Yes,Yes,OK,Yes,Yes,Yes,Offline,Connected,OK,No_Error,No,No____TIF___WMF___BMP_,OK,Correct,Yes,Normal,Yes,No_Error,Yes,No,No,Correct,Has_Paper,Yes,Adequate____1Mb_,Yes,Yes,No,Yes,No,Yes,x_1_Mb_Available_VM,Yes,Normal_Output,Windows,Correct,Yes,Operational,Yes,Correct,Correct,Short,Yes,No_Error,Yes,Yes,Long_Enough,Verified,Yes__Always_the_Same_,Fast_Enough,Yes,Greater_than_2_Mb,Yes,Yes,Correct,Correct,Correct,No_Error,Yes,Adequate,Fast_Enough,No_Error,Correct,Greater_than_2_Mb,Intact__not_Corrupt_,Enabled,Fast_Enough,OK,Correct,Reinstalled,No,Yes,Yes
Yes,No__Local_printer_,Yes,Yes,Yes,OK,Yes,Yes,Yes,Online,Connected,OK,No_Error,Yes,No____TIF___WMF___BMP_,OK,Correct,Yes,Normal,Yes,No_Error,Yes,No,Yes,Correct,Has_Paper,Yes,Adequate____1Mb_,Yes,Yes,No,Yes,No,Yes,x_1_Mb_Available_VM,Yes,Normal_Output,Windows,Correct,Yes,Operational,Yes,Correct,Correct,Short,Yes,No_Error,Yes,Yes,Long_Enough,Verified,Yes__Always_the_Same_,Fast_Enough,Yes,Greater_than_2_Mb,Yes,Yes,Correct,Correct,Correct,No_Error,Yes,Adequate,Fast_Enough,No_Error,Correct,Greater_than_2_Mb,Intact__not_Corrupt_,Enabled,Fast_Enough,OK,Correct,Reinstalled,Yes,Yes,Yes
Yes,Yes__Network_printer_,Yes,Yes,Yes,OK,Yes,Yes,Yes,Online,Connected,OK,No_Error,Yes,No____TIF___WMF___BMP_,OK,Correct,Yes,Normal,Yes,No_Error,Yes,No,Yes,Correct,Has_Paper,Yes,Adequate____1Mb_,Yes,Yes,No,Yes,No,Yes,x_1_Mb_Available_VM,Yes,Normal_Output,DOS,Correct,Yes,Operational,Yes,Correct,Correct,Short,Yes,No_Error,Yes,Yes,Long_Enough,Verified,Yes__Always_the_Same_,Fast_Enough,Yes,Greater_than_2_Mb,Yes,Yes,Correct,Correct,Correct,No_Error,Yes,Adequate,Fast_Enough,No_Error,Correct,Greater_than_2_Mb,Intact__not_Corrupt_,Enabled,Fast_Enough,OK,Correct,Reinstalled,Yes,Yes,Yes
Yes,Yes__Network_printer_,No,Yes,Yes,OK,No,Yes,Yes,Offline,Connected,OK,No_Error,No,No____TIF___WMF___BMP_,OK,Correct,Yes,Normal,Yes,No_Error,Yes,No,No,Correct,Has_Paper,Yes,Adequate____1Mb_,Yes,No,No,Yes,No,Yes,x_1_Mb_Available_VM,Yes,No_Output,DOS,Correct,Yes,Operational,Yes,Correct,Correct,Short,Yes,No_Error,Yes,Yes,Too_Short,Verified,Yes__Always_the_Same_,Fast_Enough,Yes,Greater_than_2_Mb,Yes,Yes,Correct,Correct,Correct,No_Error,Yes,Adequate,Fast_Enough,No_Error,Correct,Greater_than_2_Mb,Full_or_Corrupt,Enabled,Fast_Enough,OK,Correct,Reinstalled,No,Yes,Yes
Yes,No__Local_printer_,Yes,Yes,Yes,OK,Yes,Yes,Yes,Online,Connected,OK,No_Error,No,No____TIF___WMF___BMP_,OK,Correct,Yes,Normal,Yes,No_Error,Yes,No,No,Correct,Has_Paper,Yes,Adequate____1Mb_,Yes,Yes,No,Yes,No,Yes,x_1_Mb_Available_VM,Yes,Normal_Output,Windows,Incorrect,Yes,Operational,Yes,Correct,Correct,Short,Yes,No_Error,No,No,Long_Enough,Verified,Yes__Always_the_Same_,Fast_Enough,Yes,Greater_than_2_Mb,Yes,Yes,Correct,Correct,Correct,No_Error,No,Adequate,Fast_Enough,No_Error,Correct,Greater_than_2_Mb,Intact__not_Corrupt_,Enabled,Fast_Enough,OK,Correct,Reinstalled,Yes,Yes,Yes
Yes,No__Local_printer_,No,Yes,No,OK,No,Yes,Yes,Offline,Connected,OK,No_Error,No,No____TIF___WMF___BMP_,OK,Correct,No,Grayed_Out,Yes,No_Error,No,Yes,No,Correct,Has_Paper,Yes,Adequate____1Mb_,Yes,No,Yes,Yes,Yes,Yes,x_1_Mb_Available_VM,Yes,No_Output,Windows,Correct,Yes,Operational,Yes,Correct,Correct,Short,Yes,No_Error,Yes,Yes,Long_Enough,Verified,Yes__Always_the_Same_,Fast_Enough,No,Greater_than_2_Mb,Yes,No,Correct,Correct,Correct,No_Error,Yes,Adequate,Fast_Enough,No_Error,Correct,Greater_than_2_Mb,Full_or_Corrupt,Enabled,Fast_Enough,OK,Correct,Reinstalled,No,Yes,Yes
Yes,Yes__Network_printer_,No,Yes,No,OK,Yes,Yes,Yes,Offline,Connected,OK,No_Error,Yes,No____TIF___WMF___BMP_,OK,Correct,Yes,Normal,No,No_Error,Yes,No,No,Correct,Has_Paper,Yes,Adequate____1Mb_,Yes,No,No,Yes,No,Yes,x_1_Mb_Available_VM,Yes,No_Output,Windows,Correct,Yes,Operational,Yes,Correct,Correct,Short,Yes,No_Error,Yes,Yes,Long_Enough,Verified,Yes__Always_the_Same_,Fast_Enough,Yes,Greater_than_2_Mb,Yes,Yes,Correct,Correct,Correct,No_Error,Yes,Adequate,Fast_Enough,No_Error,Correct,Greater_than_2_Mb,Intact__not_Corrupt_,Enabled,Fast_Enough,OK,Correct,Reinstalled,No,Yes,Yes
Yes,No__Local_printer_,No,Yes,Yes,OK,Yes,Yes,Yes,Online,Connected,OK,No_Error,No,No____TIF___WMF___BMP_,OK,Correct,Yes,Normal,Yes,No_Error,Yes,No,No,Correct,Has_Paper,Yes,Adequate____1Mb_,Yes,Yes,No,Yes,No,Yes,x_1_Mb_Available_VM,Yes,No_Output,Windows,Incorrect,Yes,Operational,Yes,Correct,Correct,Short,Yes,No_Error,Yes,Yes,Long_Enough,Verified,Yes__Always_the_Same_,Fast_Enough,Yes,Greater_than_2_Mb,Yes,Yes,Correct,Correct,Correct,No_Error,Yes,Adequate,Fast_Enough,No_Error,Correct,Greater_than_2_Mb,Full_or_Corrupt,Enabled,Fast_Enough,OK,Correct,Reinstalled,Yes,Yes,Yes
Yes,Yes__Network_printer_,Yes,Yes,Yes,OK,Yes,Yes,Yes,Offline,Connected,OK,No_Error,No,No____TIF___WMF___BMP_,OK,Correct,Yes,Normal,Yes,No_Error,Yes,No,Yes,Correct,Has_Paper,Yes,Adequate____1Mb_,Yes,Yes,No,Yes,No,Yes,x_1_Mb_Available_VM,Yes,Normal_Output,DOS,Incorrect,Yes,Operational,No,Correct,Correct,Short,Yes,No_Error,Yes,Yes,Long_Enough,Verified,Yes__Always_the_Same_,Fast_Enough,Yes,Greater_than_2_Mb,Yes,Yes,Correct,Correct,Correct,No_Error,Yes,Adequate,Fast_Enough,No_Error,Correct,Greater_than_2_Mb,Intact__not_Corrupt_,Enabled,Fast_Enough,OK,Correct,Reinstalled,No,Yes,Yes
Yes,No__Local_printer_,Yes,Yes,Yes,OK,No,Yes,Yes,Online,Connected,OK,No_Error,No,No____TIF___WMF___BMP_,OK,Correct,Yes,Normal,Yes,No_Error,Yes,No,Yes,Correct,Has_Paper,Yes,Adequate____1Mb_,Yes,Yes,No,Yes,No,Yes,x_1_Mb_Available_VM,Yes,Normal_Output,Windows,Correct,Yes,Operational,Yes,Correct,Correct,Short,Yes,No_Error,Yes,Yes,Long_Enough,Verified,Yes__Always_the_Same_,Fast_Enough,Yes,Greater_than_2_Mb,Yes,Yes,Correct,Correct,Correct,No_Error,Yes,Adequate,Fast_Enough,No_Error,Correct,Greater_than_2_Mb,Intact__not_Corrupt_,Enabled,Fast_Enough,OK,Correct,Reinstalled,Yes,Yes,Yes
Yes,No__Local_printer_,Yes,Yes,Yes,OK,Yes,Yes,Yes,Online,Connected,OK,No_Error,No,No____TIF___WMF___BMP_,OK,Correct,Yes,Normal,Yes,No_Error,Yes,No,Yes,Correct,Has_Paper,Yes,Adequate____1Mb_,Yes,Yes,No,Yes,No,Yes,x_1_Mb_Available_VM,Yes,Normal_Output,Windows,Correct,Yes,Operational,Yes,Correct,Correct,Short,Yes,No_Error,Yes,Yes,Long_Enough,Verified,Yes__Always_the_Same_,Fast_Enough,Yes,Greater_than_2_Mb,Yes,Yes,Correct,Correct,Correct,No_Error,Yes,Adequate,Fast_Enough,No_Error,Correct,Greater_than_2_Mb,Intact__not_Corrupt_,Enabled,Fast_Enough,OK,Correct,Reinstalled,Yes,Yes,Yes
Yes,No__Local_printer_,Yes,Yes,No,OK,No,Yes,Yes,Online,Connected,OK,No_Error,Yes,No____TIF___WMF___BMP_,OK,Correct,No,Normal,Yes,Low__None,No,No,Yes,Correct,Has_Paper,Yes,Adequate____1Mb_,Yes,No,No,Yes,No,Yes,x_1_Mb_Available_VM,Yes,Normal_Output,Windows,Correct,Yes,Operational,Yes,Correct,Correct,Short,Yes,No_Error,Yes,Yes,Long_Enough,Verified,Yes__Always_the_Same_,Fast_Enough,No,Greater_than_2_Mb,Yes,Yes,Correct,Correct,Correct,No_Error,Yes,Low,Fast_Enough,No_Error,Correct,Greater_than_2_Mb,Intact__not_Corrupt_,Enabled,Fast_Enough,OK,Correct,Reinstalled,Yes,Yes,Yes
Yes,Yes__Network_printer_,No,Yes,No,OK,No,Yes,No,Online,Connected,OK,No_Error,No,Yes____EPS_,OK,Correct,No,Normal,Yes,No_Error,No,Yes,Yes,Correct,Has_Paper,Yes,Adequate____1Mb_,Yes,No,Yes,Yes,Yes,Yes,x_1_Mb_Available_VM,No,No_Output,Windows,Correct,Yes,Operational,Yes,Correct,Correct,Short,Yes,No_Error,Yes,Yes,Long_Enough,Verified,Yes__Always_the_Same_,Fast_Enough,No,Greater_than_2_Mb,Yes,No,Correct,Correct,Correct,No_Error,Yes,Adequate,Fast_Enough,No_Error,Correct,Greater_than_2_Mb,Full_or_Corrupt,Enabled,Fast_Enough,OK,Correct,Reinstalled,Yes,Yes,Yes
Yes,No__Local_printer_,No,Yes,Yes,OK,Yes,Yes,Yes,Online,Connected,OK,OFFLINE__OFF,No,No____TIF___WMF___BMP_,OK,Correct,Yes,Normal,Yes,No_Error,Yes,No,Yes,Correct,Has_Paper,Yes,Adequate____1Mb_,No,Yes,No,Yes,No,Yes,x_1_Mb_Available_VM,Yes,No_Output,Windows,Correct,Yes,Operational,Yes,Correct,Correct,Short,Yes,No_Error,No,No,Long_Enough,Verified,Yes__Always_the_Same_,Fast_Enough,Yes,Greater_than_2_Mb,Yes,Yes,Correct,Correct,Correct,No_Error,No,Adequate,Fast_Enough,No_Error,Correct,Greater_than_2_Mb,Intact__not_Corrupt_,Disabled,Fast_Enough,OK,Correct,Reinstalled,Yes,Yes,Yes
Yes,No__Local_printer_,Yes,Yes,Yes,OK,No,Yes,Yes,Offline,Connected,OK,No_Error,No,No____TIF___WMF___BMP_,OK,Correct,Yes,Normal,Yes,No_Error,Yes,No,No,Correct,Has_Paper,Yes,Adequate____1Mb_,Yes,Yes,No,Yes,No,Yes,x_1_Mb_Available_VM,Yes,Normal_Output,Windows,Correct,Yes,Operational,Yes,Correct,Correct,Short,Yes,No_Error,Yes,Yes,Long_Enough,Verified,Yes__Always_the_Same_,Fast_Enough,Yes,Greater_than_2_Mb,Yes,Yes,Correct,Correct,Correct,No_Error,Yes,Adequate,Fast_Enough,No_Error,Correct,Greater_than_2_Mb,Intact__not_Corrupt_,Enabled,Fast_Enough,OK,Correct,Reinstalled,No,Yes,Yes
