DrivHist,DrivingSkill,Age,RuggedAuto,Mileage,VehicleYear,ILiCost,ThisCarDam,AntiTheft,DrivQuality,RiskAversion,GoodStudent,OtherCar,MakeModel,Accident,SocioEcon,HomeBase,PropCost,CarValue,Antilock,ThisCarCost,OtherCarCost,Theft,Airbag,MedCost,SeniorTrain,Cushioning
Many,SubStandard,Adult,EggShell,TwentyThou,Current,Thousand,None,False,Poor,Normal,False,True,FamilySedan,None,Middle,Suburb,TenThou,TwentyThou,True,Thousand,Thousand,False,True,Thousand,False,Good
Zero,Normal,Adult,Football,TwentyThou,Older,Thousand,Mild,False,Normal,Adventurous,False,True,FamilySedan,Mild,Middle,Rural,Thousand,TenThou,False,Thousand,Thousand,False,False,Thousand,False,Good
Zero,Normal,Adult,EggShell,FiftyThou,Older,Thousand,None,True,Normal,Normal,False,True,Economy,None,Middle,Suburb,TenThou,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Zero,Normal,Adult,Football,TwentyThou,Current,Thousand,None,True,Normal,Cautious,False,True,FamilySedan,None,UpperMiddle,Secure,TenThou,TwentyThou,True,Thousand,Thousand,False,True,Thousand,False,Fair
Zero,SubStandard,Adult,EggShell,Domino,Current,Thousand,None,True,Poor,Cautious,False,True,SportsCar,None,UpperMiddle,Secure,TenThou,TwentyThou,True,Thousand,Thousand,False,True,Thousand,False,Fair
Many,Normal,Adult,EggShell,FiftyThou,Older,Thousand,None,False,Poor,Psychopath,False,False,Economy,None,Middle,Rural,TenThou,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Many,SubStandard,Adult,Tank,FiftyThou,Older,TenThou,Mild,False,Poor,Adventurous,False,True,FamilySedan,Moderate,Middle,City,TenThou,TwentyThou,False,Thousand,Thousand,False,True,Thousand,False,Excellent
Zero,Normal,Adolescent,Football,FiftyThou,Older,Thousand,Mild,False,Normal,Normal,False,True,FamilySedan,Mild,Prole,City,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
One,Normal,Senior,Football,FiftyThou,Older,Thousand,None,True,Normal,Cautious,False,True,SportsCar,None,Middle,Secure,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,True,Fair
Many,SubStandard,Adolescent,EggShell,TwentyThou,Older,Thousand,Severe,False,Poor,Psychopath,False,True,SportsCar,Severe,Middle,City,HundredThou,TenThou,False,TenThou,HundredThou,False,False,HundredThou,False,Fair
Zero,Normal,Adult,Tank,TwentyThou,Older,Thousand,None,False,Normal,Normal,False,True,FamilySedan,None,Middle,Secure,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Good
Zero,Expert,Senior,EggShell,TwentyThou,Older,Thousand,None,False,Excellent,Normal,False,False,Economy,None,Prole,City,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Zero,Normal,Senior,EggShell,TwentyThou,Current,Thousand,None,True,Normal,Normal,False,True,SportsCar,None,UpperMiddle,Suburb,TenThou,TwentyThou,True,Thousand,Thousand,False,True,Thousand,False,Good
Many,Normal,Adolescent,Football,TwentyThou,Current,Thousand,None,False,Normal,Normal,False,True,FamilySedan,None,Middle,Suburb,Thousand,TwentyThou,False,Thousand,Thousand,False,True,Thousand,False,Excellent
Zero,Normal,Adult,Football,FiftyThou,Current,Thousand,None,False,Excellent,Adventurous,False,True,FamilySedan,None,Middle,City,Thousand,TwentyThou,False,Thousand,Thousand,False,True,Thousand,False,Good
Many,SubStandard,Adult,EggShell,Domino,Older,Thousand,Severe,False,Poor,Normal,False,False,Economy,Severe,Prole,Rural,HundredThou,FiveThou,False,TenThou,HundredThou,False,False,HundredThou,False,Poor
Many,Normal,Adult,Football,FiftyThou,Current,Thousand,None,False,Normal,Adventurous,False,True,Economy,None,Prole,City,Thousand,TenThou,False,Thousand,Thousand,False,True,Thousand,False,Good
Many,SubStandard,Adult,EggShell,FiftyThou,Older,TenThou,Severe,True,Poor,Cautious,False,True,FamilySedan,Moderate,UpperMiddle,Secure,TenThou,FiveThou,False,TenThou,Thousand,False,False,HundredThou,False,Poor
One,Normal,Adolescent,EggShell,TwentyThou,Older,Thousand,None,False,Normal,Adventurous,False,True,Economy,None,Prole,City,Thousand,TenThou,False,Thousand,Thousand,False,True,Thousand,False,Poor
Zero,Normal,Senior,EggShell,FiftyThou,Current,Thousand,None,True,Normal,Cautious,False,False,Economy,None,Prole,City,Thousand,TenThou,False,Thousand,Thousand,False,True,Thousand,True,Poor
Many,SubStandard,Adolescent,EggShell,TwentyThou,Older,Thousand,None,False,Poor,Normal,False,False,Economy,None,Prole,City,TenThou,TenThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Zero,Normal,Adolescent,EggShell,TwentyThou,Current,Thousand,None,True,Excellent,Cautious,False,True,Economy,None,Prole,Rural,Thousand,TenThou,False,Thousand,Thousand,False,True,Thousand,False,Fair
Zero,Normal,Senior,Tank,TwentyThou,Current,Thousand,None,True,Normal,Cautious,False,True,Luxury,None,UpperMiddle,Secure,Thousand,FiftyThou,True,Thousand,Thousand,False,True,Thousand,False,Excellent
Zero,Normal,Adolescent,Football,FiveThou,Older,Thousand,None,False,Normal,Adventurous,False,False,FamilySedan,None,Middle,Suburb,Thousand,TwentyThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Many,SubStandard,Adolescent,Football,FiftyThou,Older,Thousand,None,False,Poor,Normal,False,True,Economy,None,Prole,Rural,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Zero,Normal,Adult,EggShell,TwentyThou,Older,Thousand,None,False,Normal,Normal,False,False,Economy,None,Prole,City,TenThou,FiveThou,False,Thousand,Thousand,False,True,Thousand,False,Poor
Zero,Normal,Adolescent,EggShell,TwentyThou,Older,Thousand,None,False,Excellent,Adventurous,True,True,Economy,None,Middle,City,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Zero,Expert,Adolescent,Football,TwentyThou,Current,Thousand,None,True,Excellent,Normal,True,True,Luxury,None,UpperMiddle,Suburb,Thousand,FiftyThou,True,Thousand,Thousand,False,True,Thousand,False,Excellent
One,Normal,Adult,Football,Domino,Current,Thousand,Severe,False,Poor,Psychopath,False,False,Economy,Severe,Prole,City,TenThou,TenThou,False,TenThou,TenThou,False,True,Thousand,False,Good
Zero,Normal,Adult,EggShell,Domino,Current,Thousand,None,False,Normal,Normal,False,True,SportsCar,None,UpperMiddle,Suburb,TenThou,FiftyThou,True,Thousand,Thousand,False,True,Thousand,False,Fair
Many,SubStandard,Adolescent,EggShell,TwentyThou,Older,Thousand,Moderate,False,Poor,Adventurous,False,True,Economy,Moderate,Prole,City,TenThou,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Zero,Expert,Senior,EggShell,Domino,Older,Thousand,None,True,Excellent,Cautious,False,True,SportsCar,None,Prole,City,TenThou,FiveThou,True,Thousand,Thousand,False,False,Thousand,False,Poor
Many,SubStandard,Adult,Football,FiftyThou,Current,Thousand,Moderate,True,Poor,Normal,False,True,Luxury,Moderate,UpperMiddle,Secure,HundredThou,FiftyThou,True,HundredThou,HundredThou,False,True,Thousand,False,Excellent
Many,SubStandard,Adolescent,Football,FiftyThou,Current,Thousand,Moderate,False,Poor,Adventurous,False,True,Economy,Moderate,Prole,City,HundredThou,TenThou,False,Thousand,TenThou,False,True,Thousand,False,Good
Zero,Normal,Adult,EggShell,FiftyThou,Older,Thousand,None,False,Normal,Normal,False,False,Economy,None,Prole,City,TenThou,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Zero,Normal,Adult,Tank,TwentyThou,Older,Thousand,None,True,Normal,Normal,False,False,FamilySedan,None,Middle,Rural,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Excellent
Zero,Normal,Adult,EggShell,FiftyThou,Older,Thousand,None,False,Normal,Normal,False,False,Economy,None,Prole,City,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
One,Normal,Senior,EggShell,FiftyThou,Older,Thousand,None,False,Normal,Adventurous,False,False,Economy,None,Prole,City,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Zero,Normal,Adult,EggShell,FiftyThou,Older,Thousand,None,True,Excellent,Cautious,False,False,Economy,None,Prole,City,TenThou,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Many,SubStandard,Adult,Football,TwentyThou,Older,Thousand,Mild,False,Poor,Normal,False,True,FamilySedan,Mild,Middle,Suburb,TenThou,TenThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Zero,Expert,Adult,EggShell,Domino,Older,Thousand,None,False,Excellent,Normal,False,True,Economy,None,Prole,City,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Zero,Normal,Adolescent,EggShell,FiftyThou,Older,Thousand,None,False,Normal,Normal,False,True,Economy,None,Prole,Rural,TenThou,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Many,SubStandard,Adult,Football,FiveThou,Older,Thousand,None,True,Poor,Cautious,False,False,FamilySedan,None,Prole,Rural,TenThou,TenThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Zero,Normal,Adult,EggShell,TwentyThou,Older,Thousand,None,True,Normal,Cautious,False,True,Economy,None,Prole,City,TenThou,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Zero,Expert,Adult,EggShell,TwentyThou,Older,Thousand,None,False,Excellent,Normal,False,False,Economy,None,Prole,City,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Zero,Normal,Adult,EggShell,TwentyThou,Current,Thousand,None,True,Normal,Cautious,False,False,FamilySedan,None,UpperMiddle,Secure,TenThou,TwentyThou,False,Thousand,Thousand,False,True,Thousand,False,Poor
Zero,Normal,Senior,EggShell,TwentyThou,Older,Thousand,Mild,False,Normal,Normal,False,False,Economy,Mild,Prole,Rural,Thousand,TenThou,False,Thousand,Thousand,False,False,Thousand,True,Fair
Many,SubStandard,Senior,EggShell,FiftyThou,Older,Thousand,Severe,False,Poor,Adventurous,False,False,Economy,Severe,Prole,City,HundredThou,FiveThou,False,TenThou,HundredThou,False,False,HundredThou,False,Poor
Zero,Normal,Adult,EggShell,FiftyThou,Older,Thousand,Mild,False,Poor,Adventurous,False,True,Economy,Mild,Middle,Suburb,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
One,SubStandard,Adult,EggShell,TwentyThou,Older,Thousand,Mild,True,Poor,Cautious,False,True,Economy,Mild,Prole,City,TenThou,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Zero,Normal,Senior,Football,FiveThou,Older,Thousand,None,True,Normal,Normal,False,True,FamilySedan,None,UpperMiddle,Secure,Thousand,TwentyThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Many,SubStandard,Adolescent,EggShell,Domino,Older,Thousand,Severe,False,Poor,Adventurous,False,False,Economy,Severe,Prole,City,HundredThou,FiveThou,False,TenThou,HundredThou,False,False,Million,False,Poor
Zero,Expert,Adult,Football,FiveThou,Current,Thousand,None,False,Excellent,Normal,False,False,Economy,None,Middle,Suburb,TenThou,TenThou,False,Thousand,Thousand,False,True,Thousand,False,Good
Zero,Normal,Adult,Football,TwentyThou,Current,Thousand,None,True,Normal,Cautious,False,True,FamilySedan,None,Middle,Secure,TenThou,TwentyThou,True,Thousand,Thousand,False,True,Thousand,False,Good
Many,SubStandard,Adult,EggShell,FiftyThou,Older,Million,Moderate,False,Poor,Adventurous,False,False,SportsCar,Moderate,Middle,City,TenThou,FiveThou,False,TenThou,Thousand,False,False,Thousand,False,Poor
Zero,SubStandard,Adult,Football,Domino,Current,Thousand,Moderate,True,Poor,Cautious,False,False,FamilySedan,Moderate,Middle,Secure,HundredThou,TwentyThou,False,HundredThou,Thousand,False,True,Thousand,False,Good
Zero,Normal,Adolescent,EggShell,TwentyThou,Current,Thousand,None,True,Normal,Normal,True,True,Luxury,None,UpperMiddle,Suburb,TenThou,FiftyThou,True,Thousand,Thousand,False,True,Thousand,False,Poor
Many,SubStandard,Adult,Football,TwentyThou,Older,Thousand,None,False,Poor,Normal,False,True,FamilySedan,None,Middle,Suburb,Thousand,TwentyThou,False,Thousand,Thousand,False,False,Thousand,False,Good
Zero,Normal,Adult,EggShell,FiftyThou,Older,Thousand,None,True,Normal,Cautious,False,True,Economy,None,Prole,City,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Many,SubStandard,Adult,EggShell,FiftyThou,Current,Thousand,Mild,False,Poor,Normal,False,True,FamilySedan,Mild,Middle,Secure,TenThou,TwentyThou,True,Thousand,Thousand,False,True,Thousand,False,Good
Zero,Normal,Senior,EggShell,FiftyThou,Current,Thousand,Moderate,True,Normal,Normal,False,True,SportsCar,Moderate,UpperMiddle,Secure,HundredThou,TwentyThou,True,HundredThou,Thousand,False,True,Thousand,False,Fair
Many,SubStandard,Adult,EggShell,FiftyThou,Older,Thousand,None,False,Poor,Normal,False,True,Economy,None,Prole,City,Thousand,FiveThou,False,Thousand,Thousand,False,True,Thousand,False,Poor
Zero,Normal,Adult,EggShell,Domino,Older,Thousand,None,False,Normal,Normal,False,True,FamilySedan,None,Middle,Suburb,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Many,SubStandard,Senior,Tank,TwentyThou,Older,Thousand,None,False,Poor,Normal,False,True,FamilySedan,Mild,Middle,Suburb,TenThou,TwentyThou,False,Thousand,Thousand,False,False,Thousand,True,Good
Zero,Normal,Adolescent,EggShell,FiftyThou,Older,Thousand,None,False,Excellent,Adventurous,False,True,Economy,None,Prole,City,TenThou,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
One,Normal,Adult,Football,TwentyThou,Older,Thousand,None,False,Normal,Adventurous,False,True,FamilySedan,None,Middle,Rural,Thousand,TwentyThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Zero,Expert,Adult,Tank,TwentyThou,Older,Thousand,None,True,Excellent,Cautious,False,True,FamilySedan,None,Prole,City,TenThou,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Good
Zero,Normal,Adult,Tank,Domino,Older,Thousand,None,False,Poor,Adventurous,False,False,FamilySedan,Severe,Prole,City,HundredThou,FiveThou,False,Thousand,HundredThou,False,False,Thousand,False,Good
Zero,Normal,Senior,Tank,FiftyThou,Current,Thousand,None,True,Normal,Cautious,False,True,FamilySedan,None,Middle,Secure,TenThou,TwentyThou,True,Thousand,Thousand,False,True,Thousand,True,Excellent
Many,SubStandard,Adult,EggShell,TwentyThou,Older,Thousand,Mild,False,Poor,Normal,False,False,Economy,Mild,Prole,City,TenThou,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Zero,SubStandard,Senior,EggShell,Domino,Current,Thousand,Mild,True,Poor,Cautious,False,True,SportsCar,Mild,Prole,City,Thousand,TwentyThou,True,Thousand,Thousand,False,True,Thousand,True,Poor
Zero,Normal,Senior,EggShell,FiveThou,Current,Thousand,None,True,Normal,Normal,False,True,Economy,None,Middle,Suburb,TenThou,TenThou,False,Thousand,Thousand,False,True,Thousand,False,Good
Many,SubStandard,Adult,EggShell,TwentyThou,Current,Thousand,Severe,True,Poor,Cautious,False,True,SportsCar,Severe,Middle,Secure,Million,TwentyThou,False,HundredThou,HundredThou,False,True,Thousand,False,Good
Zero,Normal,Senior,EggShell,Domino,Older,Thousand,None,False,Normal,Normal,False,False,Economy,None,Prole,City,TenThou,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Many,SubStandard,Adult,EggShell,FiftyThou,Older,Thousand,Severe,False,Poor,Normal,False,False,Economy,Severe,Prole,City,HundredThou,FiveThou,False,TenThou,HundredThou,False,False,Thousand,False,Poor
Many,SubStandard,Adult,Football,FiftyThou,Older,Thousand,Mild,False,Poor,Normal,False,True,FamilySedan,Mild,Prole,City,Thousand,FiveThou,False,Thousand,Thousand,False,True,Thousand,False,Good
Zero,Normal,Adult,Tank,TwentyThou,Older,Thousand,None,False,Poor,Adventurous,False,False,FamilySedan,None,Prole,City,Thousand,TwentyThou,False,Thousand,Thousand,False,False,Thousand,False,Good
Zero,Expert,Senior,EggShell,FiftyThou,Older,Thousand,None,False,Excellent,Normal,False,True,SportsCar,None,Prole,City,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Zero,Normal,Adult,EggShell,TwentyThou,Older,Thousand,None,True,Normal,Cautious,False,True,Economy,None,Prole,City,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Zero,Normal,Senior,Football,FiftyThou,Current,Thousand,None,True,Normal,Cautious,False,True,Luxury,None,UpperMiddle,Secure,TenThou,FiftyThou,True,Thousand,Thousand,False,True,Thousand,True,Excellent
Many,SubStandard,Adolescent,EggShell,TwentyThou,Older,Thousand,Severe,False,Poor,Adventurous,False,True,Economy,Moderate,Prole,City,TenThou,FiveThou,False,TenThou,Thousand,False,False,HundredThou,False,Poor
Many,SubStandard,Adult,Football,FiftyThou,Current,Thousand,Severe,False,Poor,Adventurous,False,True,Luxury,Severe,UpperMiddle,City,HundredThou,FiftyThou,True,HundredThou,TenThou,False,True,TenThou,False,Fair
Many,SubStandard,Adult,Football,Domino,Older,Thousand,None,True,Poor,Normal,False,False,FamilySedan,None,Middle,Secure,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Good
Zero,Normal,Senior,EggShell,TwentyThou,Older,Thousand,None,True,Normal,Cautious,False,False,Economy,None,Prole,City,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,True,Poor
One,Normal,Adult,Tank,TwentyThou,Older,Thousand,None,False,Poor,Psychopath,False,False,FamilySedan,None,Prole,City,Thousand,FiveThou,False,Thousand,Thousand,False,True,Thousand,False,Excellent
Zero,Normal,Senior,Football,FiftyThou,Current,Thousand,None,True,Normal,Normal,False,True,Luxury,None,UpperMiddle,Rural,Thousand,FiftyThou,True,Thousand,Thousand,False,True,Thousand,False,Excellent
Many,Normal,Adult,Tank,FiftyThou,Older,Thousand,None,False,Excellent,Adventurous,False,True,FamilySedan,None,Middle,Suburb,TenThou,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Excellent
Many,Normal,Senior,Football,FiftyThou,Current,Thousand,None,False,Excellent,Adventurous,False,True,FamilySedan,None,UpperMiddle,Rural,Thousand,TenThou,False,Thousand,Thousand,False,True,Thousand,False,Excellent
Zero,Normal,Adult,Football,Domino,Current,Thousand,None,False,Normal,Normal,False,True,FamilySedan,Mild,Middle,Secure,Thousand,TwentyThou,False,Thousand,Thousand,False,True,Thousand,False,Good
One,SubStandard,Adult,Tank,FiftyThou,Older,Thousand,Mild,True,Poor,Cautious,False,True,FamilySedan,Moderate,Middle,Secure,TenThou,TenThou,False,Thousand,Thousand,False,False,Thousand,False,Excellent
Many,SubStandard,Adolescent,Football,FiftyThou,Current,Thousand,None,False,Poor,Adventurous,False,True,Economy,None,Prole,City,TenThou,TenThou,False,Thousand,Thousand,False,True,Thousand,False,Good
Zero,Normal,Adolescent,Football,FiftyThou,Older,Thousand,None,True,Normal,Cautious,False,False,FamilySedan,None,Middle,Secure,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Zero,Normal,Adult,Football,TwentyThou,Older,Thousand,None,False,Normal,Normal,False,True,FamilySedan,None,Middle,Suburb,TenThou,TwentyThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
One,Normal,Adult,EggShell,FiftyThou,Older,Thousand,None,False,Normal,Adventurous,False,True,SportsCar,None,Middle,Suburb,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Zero,Normal,Adult,EggShell,Domino,Older,Thousand,None,True,Normal,Cautious,False,False,Economy,None,Prole,City,TenThou,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Zero,Normal,Adult,EggShell,FiftyThou,Older,Thousand,None,False,Normal,Normal,False,True,Economy,None,Middle,Suburb,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Many,SubStandard,Adult,EggShell,FiftyThou,Older,Thousand,Severe,True,Poor,Normal,False,False,Economy,Severe,Middle,Suburb,TenThou,FiveThou,False,TenThou,TenThou,False,True,Thousand,False,Good
Zero,Normal,Adolescent,Football,FiveThou,Older,Thousand,None,False,Normal,Normal,False,True,Economy,None,Prole,City,Thousand,TenThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Zero,Normal,Adult,EggShell,TwentyThou,Older,Thousand,None,True,Normal,Cautious,False,True,Economy,None,Prole,Suburb,Thousand,TenThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
One,Normal,Adult,EggShell,TwentyThou,Older,Thousand,Severe,False,Poor,Adventurous,False,True,SportsCar,Moderate,Middle,Suburb,HundredThou,TwentyThou,False,HundredThou,Thousand,False,True,HundredThou,False,Poor
Zero,Normal,Adult,Football,TwentyThou,Current,Thousand,Mild,False,Poor,Adventurous,False,True,Economy,Mild,Prole,City,Thousand,TenThou,False,Thousand,Thousand,False,True,Thousand,False,Excellent
Zero,Normal,Senior,EggShell,FiftyThou,Older,Thousand,None,True,Normal,Normal,False,True,Economy,None,Middle,Suburb,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Many,SubStandard,Adult,Football,TwentyThou,Older,Thousand,Severe,True,Poor,Normal,False,True,Economy,Severe,Middle,Suburb,TenThou,FiveThou,False,TenThou,TenThou,False,False,Thousand,False,Fair
One,Normal,Adult,EggShell,FiftyThou,Older,Thousand,None,False,Normal,Adventurous,False,True,Economy,None,Prole,City,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Many,SubStandard,Adult,Tank,Domino,Older,Thousand,None,False,Poor,Adventurous,False,True,FamilySedan,Mild,Middle,City,TenThou,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Good
Zero,Normal,Adolescent,Football,TwentyThou,Older,Thousand,None,False,Normal,Normal,False,True,FamilySedan,None,Middle,Suburb,Thousand,TwentyThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
One,Normal,Adult,Football,FiftyThou,Current,Thousand,None,False,Normal,Adventurous,False,True,FamilySedan,None,Middle,Suburb,Thousand,TwentyThou,True,Thousand,Thousand,False,True,Thousand,False,Excellent
Zero,Normal,Adult,Football,FiveThou,Older,Thousand,None,False,Normal,Normal,False,True,FamilySedan,None,Prole,City,Thousand,TenThou,False,Thousand,Thousand,False,True,Thousand,False,Good
Zero,Normal,Adult,Football,FiftyThou,Older,Thousand,None,False,Normal,Normal,False,True,FamilySedan,None,Middle,Rural,TenThou,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Many,SubStandard,Adolescent,Football,Domino,Older,Thousand,None,False,Poor,Normal,False,False,FamilySedan,None,Prole,City,Thousand,FiveThou,False,Thousand,Thousand,False,True,Thousand,False,Fair
