Fault,F1,F97,F2,F78,F3,F4,F5,F53,F6,F7,F56,F8,F9,F10,F55,F52,F11,F12,F13,F14,F15,F16,F17,F18,F19,F41,F44,F20,F90,F21,F22,F23,F24,F25,F26,F27,F28,F92,F29,F98,F30,F31,F32,F33,F34,F35,F36,F37,F84,F96,F38,F39,F40,F42,F43,F45,F46,F47,F85,F48,F49,F50,F51,F83,F54,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F72,F86,F70,F71,F73,F74,F75,F76,F77,F79,F80,F81,F82,F87,F88,F89,F91,F93,F94,F95,F99,F100,F105,F101,F102,F103,F104,F106,F107,F108
3,0,1,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,1,5,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,0,0,3,1,0,0,0,0,0,0,1,3,1,2,5,1,2,2,2,1,1
0,0,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,1,3,1,1,0,0,2,3,3,0,0
56,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,1,4,1,2,5,1,1,2,3,0,1
43,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,0,1,2,0,1,1,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0,1,0,0,0,2,1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,1,1
61,0,1,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,1,4,1,1,0,0,2,1,3,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,2,5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,3,0,1,0,0,0,2,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
27,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,2,0,1,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
40,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,2,0,3,0,1,0,0,0,4,0,0,0,0,1,0,0,1,2,1,2,4,1,1,3,3,0,1
27,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,3,0,0,0,0,1,0,0,0,1,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,2,1,0,0,0,0,2,0,1,1,2,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,3,1,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,1,0
11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
61,0,1,2,1,1,1,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5,0,2,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,1,0,1,1,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,1,4,1,1,0,0,2,1,3,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0,1,0,0,0,2,4,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,0,3,0,0,0,5,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,2,0,1,0,1,0,0,0,2,0,0,0,0,1,1,5,1,0,0,0,0,0,0,0,0,1,1
27,0,1,1,1,1,1,1,0,0,0,1,0,0,0,2,2,3,0,0,0,0,1,0,0,0,0,1,0,2,1,2,0,0,0,0,0,0,0,0,1,5,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1,2,0,1,1,2,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,3,0,2,0,0,0,3,1,0,0,0,0,0,0,1,4,1,2,6,1,1,3,2,1,0
35,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,3,2,1,1,7,0,0,1,2,0,1,1,5,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,1,1,0,3,0,1,0,0,0,1,2,0,0,0,1,0,5,1,1,1,1,0,0,3,1,1,1,1
49,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,1,5,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,1,0,1,2,0,1,0,1,0,0,0,2,4,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,0,3,0,0,0,1,0,0,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,2,2,0,1,0,0,0,2,0,0,0,0,1,1,5,1,0,0,0,0,0,0,0,0,1,1
27,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,2,0,0,0,0,2,0,0,0,0,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,2,0,1,0,0,1,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
34,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,3,2,1,1,2,0,0,2,2,0,1,1,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,0,2,0,1,0,0,0,4,1,0,0,0,1,0,5,1,1,1,1,0,0,1,1,2,1,1
23,0,1,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,2,1,1,2,0,0,2,2,0,3,1,2,1,1,2,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,2,0,2,0,1,0,3,2,0,0,0,0,0,5,1,4,1,2,4,1,2,3,2,1,0
43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,1,0,3,0,0,0,5,0,0,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,3,0,1,0,0,0,2,0,0,0,0,1,1,5,1,0,0,0,0,0,0,0,0,1,0
49,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,1,5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,4,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,1,0,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,0,1,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
34,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,2,1,1,2,0,0,0,2,0,1,1,5,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,0,1,0,0,0,4,1,0,0,0,1,0,5,1,1,1,1,0,0,2,1,2,1,0
12,0,1,1,1,1,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,4,1,2,5,1,2,1,2,0,0
34,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,3,2,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,4,0,2,0,1,0,0,0,4,0,0,0,0,1,0,5,1,1,1,1,0,0,3,3,1,1,1
49,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,3,1,5,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,0,0,2,4,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,2,2,1,0,0,0,3,2,1,1,1,3,0,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,2,4,0,1,0,1,0,2,1,1,2,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,1,1
6,0,1,2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3,1,0,2,0,4,0,0,0,4,1,0,0,0,0,0,0,1,4,1,2,3,1,3,1,3,1,0
34,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,3,2,1,1,2,0,0,0,2,0,1,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0,1,0,0,0,3,1,0,0,0,1,0,5,1,1,1,2,6,1,2,1,1,1,0
42,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,1,0,1,3,0,3,0,0,0,0,0,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
13,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,1,3,1,2,2,1,2,1,3,0,0
21,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,2,0,0,0,3,0,0,0,0,0,0,0,1,4,1,2,5,1,1,2,2,0,0
42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,0,0,0,2,2,0,1,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,3,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
57,0,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0,0,0,4,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,1,4,1,2,3,1,1,2,3,0,1
34,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,2,1,1,1,0,0,0,2,0,1,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,0,1,0,0,0,4,1,0,0,0,1,0,5,1,1,1,1,0,0,3,1,2,1,1
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,0,3,2,0,1,3,5,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,0,0,2,1,0,0,0,1,1,5,1,0,0,0,0,0,0,0,0,1,1
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,1,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,2,1,0,0,0,1,2,0,1,1,2,0,1,0,0,1,0,2,2,1,0,0,0,0,0,0,0,1,0,1,1,1,2,0,1,0,0,0,2,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0
35,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,3,2,1,1,7,0,0,0,2,0,1,1,5,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,3,0,3,0,0,0,0,0,1,1,0,0,0,1,0,5,1,1,1,1,0,0,2,1,1,1,0
0,0,1,1,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,2,0,1,0,3,0,0,0,0,0,0,0,1,4,1,1,0,0,1,3,3,0,1
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,3,2,0,2,3,4,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,4,0,2,0,1,0,2,1,1,1,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,0
27,0,1,1,1,1,1,1,0,0,0,1,0,0,0,2,2,3,0,0,0,0,1,0,0,0,0,1,0,2,1,2,0,0,0,0,0,0,0,0,1,5,0,1,0,0,3,0,0,0,0,0,0,0,8,0,0,1,2,0,1,1,4,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,3,1,3,0,0,0,0,0,3,1,0,0,0,0,0,0,1,4,1,2,4,1,1,1,3,1,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,0,3,0,0,0,1,0,0,4,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,1,1,5,1,0,0,0,0,0,0,0,0,1,0
12,0,1,1,1,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,4,1,2,5,1,1,3,3,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,2,0,0,0,5,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,3,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,1,1
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,2,2,0,1,3,5,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,2,0,1,1,1,1,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,0
49,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,1,5,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,0,0,2,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,1,0,3,2,0,1,3,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,4,1,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,1,1
