CapInScen,MidLLapse,WindAloft,LowLLapse,ScenRelAMCIN,CombMoisture,MeanRH,SynForcng,AMInstabMt,ScenRelAMIns,MorningCIN,SubjVertMo,QGVertMotion,OutflowFrMt,CombClouds,SatContMoist,AreaMoDryAir,AMInsWliScen,IRCloudCover,CldShadeConv,LIfr12ZDENSd,ScnRelPlFcst,CurPropConv,N0_7muVerMo,TempDis,Scenario,MvmtFeatures,InsChange,LLIW,Boundaries,LoLevMoistAd,AreaMeso_ALS,WndHodograph,LatestCIN,MountainFcst,Date,RHRatio,VISCloudCov,ScenRel3_4,N34StarFcst,CapChange,WindFieldMt,InsInMt,InsSclInScen,CompPlFcst,CldShadeOth,RaoContMoist,MorningBound,R5Fcst,Dewpoints,CombVerMo,AMDewptCalPl,SfcWndShfDis,AMCINInScen,WindFieldPln,PlainsFcst
LessThanAve,ModerateOrLe,AllElse,ModerateOrLe,CThruK,Neutral,Dry,SigNegative,Strong,K,PartInhibit,WeakUp,WeakUp,Weak,PC,Neutral,Wet,MoreUnstable,Clear,Some,LILt_8,K,Moderate,StrongUp,Other,K,MarkedUpper,Increasing,Moderate,Weak,StrongPos,StrongUp,DCVZFavor,None,SVR,May15_Jun14,Other,PC,ACEFK,SVR,Decreasing,Westerly,Strong,MoreUnstable,DecCapIncIns,Clear,Neutral,None,SVR,Other,StrongUp,Neutral,None,Average,WidespdDnsl,SVR
MoreThanAve,Steep,LV,ModerateOrLe,CThruK,Dry,Average,LittleChange,None,CDEJ,Stifling,WeakUp,StrongUp,Weak,PC,Neutral,Dry,Average,PC,None,N1GtLIGt_4,J,None,WeakUp,QStationary,J,NoMajor,LittleChange,Moderate,None,WeakPos,WeakUp,Westerly,Stifling,SIG,May15_Jun14,DryMMoistL,PC,GJ,XNIL,Decreasing,LVorOther,Weak,Average,DecCapIncIns,PC,Neutral,None,SIG,LowAtStation,WeakUp,Instability,DryLine,MoreThanAve,LV,XNIL
MoreThanAve,ModerateOrLe,LV,CloseToDryAd,CThruK,Dry,VeryMoist,LittleChange,Strong,CDEJ,PartInhibit,Neutral,Down,Strong,Clear,Dry,Dry,LessUnstable,PC,Marked,N1GtLIGt_4,J,Slight,WeakUp,Other,J,NoMajor,LittleChange,Strong,Weak,Neutral,Neutral,Westerly,PartInhibit,XNIL,Jul16_Aug10,DryMMoistL,Clear,GJ,XNIL,Increasing,LVorOther,Strong,LessUnstable,IncCapDecIns,Clear,Wet,None,XNIL,LowAtStation,Neutral,Neutral,DryLine,Average,LV,XNIL
LessThanAve,Steep,AllElse,Stable,AB,Wet,Dry,PosToNeg,Strong,ABI,PartInhibit,Neutral,Neutral,Strong,PC,Wet,VeryWet,MoreUnstable,Clear,Marked,N1GtLIGt_4,B,None,StrongUp,Other,B,NoMajor,LittleChange,Weak,Weak,Neutral,WeakUp,Westerly,PartInhibit,SIG,Jul16_Aug10,Other,PC,B,XNIL,LittleChange,Westerly,Strong,MoreUnstable,LittleChange,PC,Dry,None,SIG,LowSHighN,WeakUp,Instability,DenvCyclone,LessThanAve,E_NE,XNIL
Average,ModerateOrLe,SWQuad,ModerateOrLe,AB,Wet,Dry,NegToPos,Weak,ABI,PartInhibit,Down,Down,Weak,Clear,Neutral,Wet,MoreUnstable,Clear,Marked,N5GtLIGt_8,A,Slight,Down,None,A,OtherRapid,Decreasing,Weak,Strong,Neutral,Down,DCVZFavor,PartInhibit,XNIL,May15_Jun14,Other,PC,ACEFK,XNIL,LittleChange,LVorOther,Strong,MoreUnstable,LittleChange,Clear,Neutral,None,XNIL,LowSHighN,Down,Instability,DenvCyclone,Average,SEQuad,XNIL
LessThanAve,Steep,SWQuad,Steep,AB,Neutral,VeryMoist,PosToNeg,Weak,ABI,PartInhibit,Neutral,Neutral,Strong,PC,Neutral,Neutral,MoreUnstable,PC,Some,N5GtLIGt_8,B,None,StrongUp,Other,B,NoMajor,LittleChange,Moderate,Strong,Neutral,WeakUp,StrongWest,PartInhibit,SIG,May15_Jun14,Other,Clear,B,SVR,Decreasing,Westerly,Strong,MoreUnstable,DecCapIncIns,Clear,Dry,Weak,SVR,HighEvrywher,WeakUp,Neutral,DenvCyclone,Average,DenvCyclone,SVR
LessThanAve,Steep,NWQuad,ModerateOrLe,AB,Wet,VeryMoist,SigPositive,Strong,ABI,TotalInhibit,Neutral,WeakUp,Weak,Clear,Wet,Neutral,MoreUnstable,Clear,Marked,N5GtLIGt_8,B,Moderate,WeakUp,None,B,NoMajor,Increasing,Moderate,None,Neutral,WeakUp,DCVZFavor,None,SIG,May15_Jun14,DryMMoistL,Clear,B,XNIL,Decreasing,LVorOther,Strong,MoreUnstable,DecCapIncIns,PC,Dry,None,SIG,LowMtsHighPl,WeakUp,Instability,E_W_S,MoreThanAve,SEQuad,XNIL
MoreThanAve,Steep,NWQuad,CloseToDryAd,CThruK,VeryWet,Dry,PosToNeg,Strong,G,PartInhibit,Down,Down,Strong,Clear,Dry,VeryWet,LessUnstable,PC,Marked,N1GtLIGt_4,G,None,WeakUp,None,G,StrongFront,Increasing,Moderate,Strong,WeakPos,WeakUp,StrongWest,TotalInhibit,XNIL,Jun15_Jul1,MoistMDryL,PC,GJ,XNIL,Increasing,Westerly,Strong,MoreUnstable,IncCapDecIns,PC,Wet,Weak,XNIL,LowEvrywhere,WeakUp,Stability,DryLine,Average,WidespdDnsl,XNIL
MoreThanAve,Steep,AllElse,Steep,CThruK,Wet,Average,LittleChange,Weak,CDEJ,PartInhibit,WeakUp,WeakUp,Weak,PC,Wet,Wet,MoreUnstable,Clear,Some,N5GtLIGt_8,E,Strong,Down,None,E,NoMajor,LittleChange,Moderate,Weak,Negative,Neutral,StrongWest,None,SIG,May15_Jun14,MoistMDryL,PC,ACEFK,XNIL,Increasing,LVorOther,Weak,MoreUnstable,IncCapDecIns,PC,Wet,None,SIG,LowAtStation,Neutral,Instability,None,Average,WidespdDnsl,XNIL
MoreThanAve,CloseToDryAd,NWQuad,CloseToDryAd,CThruK,VeryWet,Dry,LittleChange,None,G,PartInhibit,WeakUp,WeakUp,None,PC,Neutral,VeryWet,MoreUnstable,PC,None,N1GtLIGt_4,G,Slight,StrongUp,None,G,NoMajor,LittleChange,Moderate,Weak,WeakPos,StrongUp,Westerly,PartInhibit,XNIL,May15_Jun14,MoistMDryL,PC,GJ,SVR,Increasing,Westerly,None,MoreUnstable,IncCapDecIns,Cloudy,VeryWet,Weak,SVR,LowAtStation,StrongUp,Instability,Other,MoreThanAve,WidespdDnsl,SVR
Average,CloseToDryAd,AllElse,CloseToDryAd,CThruK,VeryWet,Dry,SigNegative,Weak,ABI,PartInhibit,Neutral,Neutral,Strong,Clear,VeryWet,Wet,Average,Clear,Marked,LIGt0,I,Slight,WeakUp,QStationary,I,NoMajor,Increasing,Moderate,Strong,StrongPos,Neutral,StrongWest,PartInhibit,SIG,Aug20_Sep15,DryMMoistL,Clear,HI,SVR,LittleChange,Westerly,Weak,Average,LittleChange,Clear,Neutral,Strong,SVR,LowSHighN,Neutral,Instability,MovingFtorOt,Average,DenvCyclone,SVR
Average,CloseToDryAd,NWQuad,ModerateOrLe,CThruK,Wet,VeryMoist,SigNegative,None,K,None,Neutral,Down,None,Clear,Wet,Dry,Average,PC,Some,N5GtLIGt_8,K,Slight,WeakUp,None,K,StrongFront,LittleChange,Moderate,Strong,Neutral,Down,DCVZFavor,TotalInhibit,SIG,May15_Jun14,DryMMoistL,Clear,ACEFK,SIG,Increasing,Westerly,Weak,Average,IncCapDecIns,Clear,Dry,Strong,SIG,Other,Down,Stability,MovingFtorOt,LessThanAve,WidespdDnsl,XNIL
LessThanAve,Steep,LV,ModerateOrLe,CThruK,Neutral,Dry,PosToNeg,None,CDEJ,None,StronUp,Down,Strong,Clear,Wet,Neutral,Average,PC,Some,N1GtLIGt_4,J,None,WeakUp,None,J,NoMajor,LittleChange,Moderate,Strong,Neutral,Neutral,Westerly,PartInhibit,XNIL,Jul2_Jul15,MoistMDryL,Clear,GJ,XNIL,LittleChange,LVorOther,Weak,Average,LittleChange,Clear,Neutral,None,XNIL,Other,Neutral,Instability,E_W_S,LessThanAve,SEQuad,XNIL
MoreThanAve,CloseToDryAd,AllElse,Steep,CThruK,Wet,Average,LittleChange,Weak,CDEJ,PartInhibit,Down,Down,Weak,Clear,Wet,Neutral,Average,Clear,None,N5GtLIGt_8,E,Strong,Neutral,Other,E,NoMajor,Increasing,Strong,Strong,StrongPos,Neutral,StrongWest,None,XNIL,Jul2_Jul15,MoistMDryL,Clear,ACEFK,SVR,LittleChange,LVorOther,Weak,Average,LittleChange,Clear,Dry,Weak,SVR,LowSHighN,Neutral,Stability,DryLine,MoreThanAve,E_NE,SVR
MoreThanAve,ModerateOrLe,SWQuad,CloseToDryAd,CThruK,Wet,Average,SigPositive,Weak,CDEJ,Stifling,StronUp,Down,Strong,Clear,Wet,VeryWet,Average,Clear,Marked,N1GtLIGt_4,E,Strong,WeakUp,None,E,OtherRapid,Decreasing,Strong,Weak,Negative,Neutral,DCVZFavor,None,SVR,Jul2_Jul15,MoistMDryL,Clear,ACEFK,XNIL,LittleChange,LVorOther,Strong,Average,LittleChange,Clear,Wet,Weak,SVR,LowMtsHighPl,Neutral,Instability,MovingFtorOt,MoreThanAve,LV,XNIL
LessThanAve,ModerateOrLe,LV,Stable,CThruK,Neutral,Dry,SigNegative,None,CDEJ,PartInhibit,Neutral,StrongUp,None,Clear,Wet,Neutral,MoreUnstable,PC,None,N1GtLIGt_4,J,Slight,Neutral,None,J,NoMajor,Decreasing,Moderate,None,Neutral,WeakUp,StrongWest,None,XNIL,Jul16_Aug10,DryMMoistL,PC,GJ,XNIL,Decreasing,LVorOther,None,LessUnstable,DecCapIncIns,Clear,Neutral,Strong,XNIL,LowNHighS,WeakUp,Instability,DryLine,Average,LV,XNIL
MoreThanAve,Steep,LV,ModerateOrLe,CThruK,VeryWet,Average,LittleChange,None,CDEJ,TotalInhibit,WeakUp,Neutral,None,PC,Neutral,Wet,MoreUnstable,Clear,Some,N1GtLIGt_4,J,Slight,Down,None,J,NoMajor,Increasing,Strong,Weak,WeakPos,Down,Westerly,TotalInhibit,SIG,Jul16_Aug10,DryMMoistL,PC,GJ,XNIL,Increasing,LVorOther,Weak,MoreUnstable,IncCapDecIns,PC,VeryWet,Weak,SIG,LowAtStation,Down,Neutral,DryLine,MoreThanAve,LV,XNIL
MoreThanAve,Steep,AllElse,Steep,CThruK,Dry,Average,PosToNeg,Weak,ABI,PartInhibit,Neutral,StrongUp,Strong,Clear,Dry,Dry,Average,Clear,Marked,N1GtLIGt_4,I,Slight,WeakUp,QStationary,I,NoMajor,LittleChange,Moderate,Strong,WeakPos,WeakUp,StrongWest,PartInhibit,SVR,Jul16_Aug10,Other,Clear,HI,SIG,Increasing,LVorOther,Strong,Average,IncCapDecIns,Clear,Dry,Strong,SVR,LowSHighN,WeakUp,Stability,MovingFtorOt,Average,LV,SVR
MoreThanAve,CloseToDryAd,LV,ModerateOrLe,CThruK,Wet,Average,NegToPos,Strong,CDEJ,None,WeakUp,Neutral,Weak,PC,Wet,VeryWet,Average,PC,None,N1GtLIGt_4,J,None,StrongUp,Other,J,NoMajor,Increasing,Weak,Strong,Neutral,StrongUp,DCVZFavor,Stifling,SIG,Jul2_Jul15,DryMMoistL,Clear,GJ,SIG,Increasing,LVorOther,Weak,MoreUnstable,IncCapDecIns,Cloudy,Wet,Weak,SIG,LowAtStation,StrongUp,Stability,None,LessThanAve,SEQuad,XNIL
MoreThanAve,Steep,SWQuad,Steep,AB,Neutral,Average,LittleChange,Weak,ABI,Stifling,Neutral,Down,Weak,PC,Neutral,Neutral,MoreUnstable,PC,Marked,N1GtLIGt_4,B,None,WeakUp,Other,B,NoMajor,Decreasing,Unfavorable,Weak,Negative,Neutral,StrongWest,Stifling,SIG,Jul16_Aug10,DryMMoistL,PC,B,XNIL,Increasing,LVorOther,Weak,Average,IncCapDecIns,PC,Neutral,None,SIG,LowMtsHighPl,Neutral,Stability,DenvCyclone,MoreThanAve,E_NE,XNIL
MoreThanAve,ModerateOrLe,SWQuad,Steep,CThruK,Neutral,Dry,SigPositive,Weak,K,Stifling,Neutral,Neutral,Strong,PC,Dry,Dry,Average,Clear,Marked,N1GtLIGt_4,K,None,Neutral,QStationary,K,StrongFront,Increasing,Unfavorable,Strong,Neutral,Neutral,DCVZFavor,None,SIG,Jul16_Aug10,DryMMoistL,PC,ACEFK,XNIL,Increasing,Westerly,Strong,MoreUnstable,IncCapDecIns,PC,Dry,Strong,SIG,Other,Neutral,Neutral,MovingFtorOt,MoreThanAve,LV,XNIL
Average,CloseToDryAd,SWQuad,Steep,AB,Neutral,VeryMoist,PosToNeg,None,ABI,Stifling,Neutral,Neutral,None,Clear,Neutral,Neutral,LessUnstable,Clear,None,N1GtLIGt_4,B,Slight,Down,Other,B,OtherRapid,Decreasing,Weak,None,Negative,Neutral,DCVZFavor,None,XNIL,Jul16_Aug10,Other,Clear,B,SIG,Decreasing,LVorOther,None,LessUnstable,DecCapIncIns,Clear,Neutral,None,SIG,LowSHighN,Neutral,Stability,E_W_S,MoreThanAve,E_NE,SIG
Average,CloseToDryAd,AllElse,CloseToDryAd,CThruK,Neutral,Dry,SigNegative,Strong,G,PartInhibit,Neutral,Down,Strong,Clear,Neutral,Neutral,MoreUnstable,Clear,Marked,LILt_8,G,Slight,Down,None,G,NoMajor,LittleChange,Moderate,Strong,Neutral,Down,Westerly,PartInhibit,SIG,May15_Jun14,MoistMDryL,Clear,GJ,XNIL,LittleChange,Westerly,Strong,Average,LittleChange,Clear,Neutral,None,SIG,LowEvrywhere,Down,Instability,None,Average,E_NE,XNIL
LessThanAve,ModerateOrLe,LV,CloseToDryAd,CThruK,Dry,VeryMoist,LittleChange,Strong,CDEJ,PartInhibit,Neutral,Neutral,Strong,Clear,Neutral,Dry,MoreUnstable,Clear,Marked,N1GtLIGt_4,E,None,Down,None,E,NoMajor,Increasing,Moderate,Weak,StrongPos,Down,Westerly,None,SVR,May15_Jun14,Other,PC,ACEFK,XNIL,Decreasing,LVorOther,Strong,MoreUnstable,DecCapIncIns,Clear,Neutral,None,SVR,LowAtStation,Down,Neutral,None,Average,LongAnticyc,XNIL
Average,Steep,SWQuad,CloseToDryAd,CThruK,Dry,Dry,SigNegative,Weak,CDEJ,PartInhibit,Down,Neutral,Weak,PC,Dry,Neutral,LessUnstable,PC,Some,N5GtLIGt_8,E,Slight,WeakUp,None,E,NoMajor,LittleChange,Moderate,None,WeakPos,Neutral,Westerly,TotalInhibit,XNIL,Jul16_Aug10,MoistMDryL,Clear,ACEFK,XNIL,LittleChange,LVorOther,Weak,LessUnstable,LittleChange,PC,Wet,None,XNIL,LowSHighN,Neutral,Stability,E_W_S,Average,LV,XNIL
MoreThanAve,Steep,AllElse,CloseToDryAd,CThruK,Wet,Dry,PosToNeg,Strong,G,Stifling,Neutral,Down,Weak,Clear,Dry,Neutral,Average,Clear,Marked,N5GtLIGt_8,G,Moderate,WeakUp,Other,G,NoMajor,Decreasing,Weak,None,Negative,Down,Other,None,SVR,May15_Jun14,MoistMDryL,PC,GJ,XNIL,Increasing,LVorOther,Strong,Average,IncCapDecIns,Clear,Dry,None,SVR,LowEvrywhere,Down,Neutral,DryLine,MoreThanAve,WidespdDnsl,XNIL
LessThanAve,CloseToDryAd,SWQuad,ModerateOrLe,AB,VeryWet,Average,NegToPos,None,ABI,PartInhibit,Neutral,Neutral,None,Clear,Dry,Wet,Average,Clear,None,N1GtLIGt_4,A,Slight,Neutral,Other,A,OtherRapid,Decreasing,Moderate,None,Negative,Neutral,Other,Stifling,XNIL,Jul2_Jul15,Other,Clear,ACEFK,XNIL,LittleChange,Westerly,None,LessUnstable,LittleChange,PC,Wet,None,XNIL,LowMtsHighPl,Neutral,Neutral,DenvCyclone,LessThanAve,DenvCyclone,XNIL
Average,Steep,LV,ModerateOrLe,CThruK,Wet,Average,LittleChange,Strong,CDEJ,PartInhibit,Neutral,Down,Strong,PC,Neutral,Neutral,LessUnstable,PC,Marked,N1GtLIGt_4,J,Moderate,Down,Other,J,NoMajor,LittleChange,Strong,Strong,Neutral,Down,StrongWest,Stifling,SVR,Aug20_Sep15,DryMMoistL,PC,GJ,XNIL,Increasing,LVorOther,Strong,LessUnstable,IncCapDecIns,Clear,Neutral,Strong,SVR,LowNHighS,Down,Stability,None,Average,LV,XNIL
Average,CloseToDryAd,LV,Steep,CThruK,VeryWet,Dry,LittleChange,Strong,G,PartInhibit,Neutral,Neutral,None,Clear,Dry,VeryWet,Average,Clear,Some,N1GtLIGt_4,G,Slight,Down,None,G,StrongFront,Decreasing,Weak,None,Negative,Neutral,Westerly,None,SVR,May15_Jun14,MoistMDryL,Clear,GJ,XNIL,LittleChange,Westerly,Strong,Average,LittleChange,Clear,Wet,Strong,SVR,Other,Neutral,Stability,DryLine,Average,WidespdDnsl,XNIL
